trip_id,route_id,route_short_name,max_advance_min,max_delay_min
20251121-MI-2720,08251125-MI,MI,5,10
20251121-ST-7410,08251125-ST,ST,5,10
20251121-27-27190,08251125-27,27,5,10
20251121-30-30130,08251125-30,30,5,10
20251121-56-56201,08251125-56,56,5,10
20251121-MI-2722,08251125-MI,MI,5,10
20251121-48-48260,08251125-48,48,5,10
20251121-21-21294,08251125-21,21,5,10
20251121-61-61341,08251125-61,61,5,10
20251121-56-56331,08251125-56,56,5,10
20251121-MI-2710,08251125-MI,MI,5,10
20251121-21-21111,08251125-21,21,5,10
20251121-56-56123,08251125-56,56,5,10
20251121-71-71171,08251125-71,71,5,10
20251121-22-22220,08251125-22,22,5,10
20251121-40-40180,08251125-40,40,5,10
20251121-56-56111,08251125-56,56,5,10
